n_ID	s_Trigger_NAME	s_Trigger_TIP	s_Trigger_Fail_Message	s_Trigger_Success_Message
164	Sunset Deserted	[เข้าได้เมื่อ: Lv.115] 	เลเวลของท่านไม่เพียงพอ	
165	เดินทางสู่ Atlantic Ocean-Rising Sun Sea	ไม่จำกัดเลเวล		
166	เดินทางสู่ Outer space Ocean-Taboo Sea	[เข้าได้เมื่อ: Lv.70] 	เลเวลของท่านไม่เพียงพอ	
167	Go To  Bermuda Sea	[เข้าได้เมื่อ: Lv.92] 	เลเวลของท่านไม่เพียงพอ	
168	Shut The Door	จะต้องใช้กุญแจเพื่อเปิด แต่มันอยู่ที่ใครล่ะ?		
169	Fruit Bucket	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
170	Stover	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
171	Rubbish Pile	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
172	Pearl Shell	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
173	Dried Pineapple	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
174	Hard Mushroom	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
175	Beast Cage	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
176	Icu Gravestone	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
177	Heritage Treasure	[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
178	Plato Diary Volume 1	จะต้องผ่านภารกิจ[ทีมสำรวจโบราณสถาน GO!] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
179	Plato Diary Volume 3	จะต้องผ่านภารกิจ[Prime Minister นักพยากรณ์ 1] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
180	Locked Door	จะต้องใช้กุญแจ อาจซ่อนอยู่ในกล่องสมบัติที่ใด่ที่หนึ่ง\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ทางนี้ถูกล็อกไว้	
181	Key Box	กุญแจอยู่ที่นี่แหละ!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		กุญแจหล่นออกมา
182	Bonus Chest	เมื่ออยู่ในด่านระดับความยาก 2 ดาว เมื่อเปิดกล่องสมบัติสามารถเพิ่มคะแนตอนจบด่านได้จะต้องใช้[Pivot Station] 1 อัน\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
183	Cannon	ใช้ในการโจมตี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ปืนใหญ่กำลังคูลดาวน์	
184	Hitch Human Cannon	ใช้ได้แค่ครั้งเดียว และยิงไปเป้าหมายที่กำหนด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
185	Lifting Basket	ใช้ขนส่งของขึ้นเขา\n[วิธีใช้: เหยียบขึ้นไป] 		
186	Powder Cask	ใช้ช่วยเหลือเพื่อนๆที่ปีนเขาอยู่ สามารถใช้ประโยชน์อย่างอื่นได้ ค้นหาเอาเองสิ!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
187	Firm Door	ใช้ระเบิดเปิดมันสิ!		
188	Fortress Defense Machine Gun	ดำเนินการเมื่อทำลายประตูใหญ่ได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
189	Attack Cannon		กระสุนไม่พอ	
190	Gliding Altar	ทำให้ท่านได้รับความสามารถในการเหาะเหิน[1 ครั้ง] สามารถใช้ซ้ำได้\n[วิธีใช้: เหยียบขึ้นไป] 		ท่านได้รับความสามารถในการเหาะเหินชั่วคราว
191	ApocalypseVolume 1	โรคระบาด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
192	Apocalypse Volume 2	แผ่นดินไหว\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
193	Apocalypse Volume 3	น้ำท่วม\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
194	Temple Holy pool	มีพลังลึกลับ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
195	Bermuda Crack	ใครรู้บ้างว่าต้องไปทางไหน?\n[วิธีใช้: ร่างกายสัมผัส] 		
196	Suspicious Tombstone	[นอนด้วยกันก่อนสิ] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
197	Dungeon[Doom Church] Entrance	[วิธีใช้: ดับเบิ้ลคลิกซ้าย เพื่อเปิดตัวเลือกระดับความยาก] 		
198				พลังโพไซดอนในตัวของท่านได้มาจากศัตรูที่อยู่ตรงหน้า พลังของท่านเพิ่มขึ้นมหาศาล ตอนนี้สามารถใช้สกิลใหม่ได้แล้ว
199				พลังในตัวท่านหายไป...
200	Ice Berry Flower	รู้สึกเย็น\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
201	Container	ใส่อะไรไม่ได้เลย\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
202	Gift Box	ของขวัญลึกลับ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
203	Fire Crystal	รวมตัวเป็นหินหนืด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
204	Alchemical Furnace	นำ[กระดิ่งทอง] หลอมเป็น[ทองแท่ง] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
205	Blue Conifer Cone	ผลไม้เขตร้อน\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
206	Red Conifer Cone	ผลไม้เขตร้อน\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
207	Head Mushroom	เห็ดที่พบเห็นบ่อย\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
208	Volvacea	เห็ดที่พบเห็นบ่อย\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
209	Glove Box	แบบแปลนต่างๆอยู่ที่นี่หมด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
210	Summon Magic	พลังลึกลับ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
211	Blessing Evil Idol	เทพปีศาจจากที่ไหนกัน\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
212	 Hijack  Clean Box	ใส่ของเบ็ดเตล็ด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
213				Krakenปรากฏตัวที่ Atlantic Ocean! ไปกำจัดมันเลย!
214	Prisoner Treasure Chest	Cheat Death Pill อยู่ที่นี่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
215	Stink Bucket	ท่านเปิดมันไม่ได้จริงๆเหรอ?\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	การลงครั้งต่อไปต้งล้างมือ
216	Secret Weapon Box	ระดับความลับเลเวล 9\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	อย่าไปเตะต้องมันดีกว่า	
217	Human Cannon	ยิงท่านไปที่ที่กำหนด\n(วิธีใช้: ดับเบิ้ลคลิกซ้าย)		
218	Xel'Naga Furnace	เหมือนเคยได้ยินชื่อจากที่ไหนมาก่อน\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
219	FloatRed Crystal	สามารถเคาะผลึกออกมาได้จำนวนมาก\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
220	Hematite	ส่องแดงสีแดงอ่อนๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
221	Queer Ice	มีแสงส่องออกมา\n[วิธีใช้: ร่างกายสัมผัส] 	ท่านยังไม่ต้องการมันในตอนนี้	
222	Queer Rock	มีแสงส่องออกมา\n[วิธีใช้: ร่างกายสัมผัส] 	ท่านยังไม่ต้องการมันในตอนนี้	
223	Royal Chest	ไว้ใส่ของตกทอดจากราชวงศ์\n[วิธีใช้: ร่างกายสัมผัส] 	ท่านยังไม่ต้องการมันในตอนนี้	
224	Navy Position	มันง่ายมากๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
225	Dungeon[Rough Sea Fortress] Entrance	[วิธีใช้: ดับเบิ้ลคลิกซ้าย เพื่อเปิดตัวเลือกระดับความยาก] 		
226	Suspicious Tombstone	[เคยมาที่โลกนี้ในสมัยก่อน] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
227	Suspicious Tombstone	[เวลาที่ท่านอ่านตัวอักษรนี้ออก: นั่นคือท่านกำลังเหยียบอยู่บนตัวข้า!] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
228	Suspicious Tombstone	[ถึงข้าจะยังไม่คืนเงินเจ้า แต่นี่เป็นบ้านหลังสุดท้ายของข้าแล้วล่ะ] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
229	Suspicious Tombstone	[ขอบคุณที่มาเยียม ไว้ข้าว่างๆข้าจะไปเยี่ยมเจ้าบ้างนะ] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
230	Suspicious Tombstone	[ถ้าตายจะต้องเผากระดาษ] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
231	Suspicious Tombstone	[ข้ารู้สึกว่าข้าจะช่วยได้อีกหน่อย] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
232	Suspicious Tombstone	[ที่นี่แคบจัง พลิบตัวก็ลำบาก] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
233	Suspicious Tombstone	[ข้าตายยังไง?] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
234	Suspicious Tombstone	[ข้ารอเจ้าอยู่ใต้ดินนะ!] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
235	Suspicious Tombstone	[เมื่อก่อนข้าเป็นเจ้าอ้วน แต่เดี๋ยวนี้ข้าเหลือแต่กระดูก] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
236	Suspicious Tombstone	[อย่ามากินของของข้า!] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
237	Suspicious Tombstone	[ข้าว่างน่ะ เลยออกมาเดินๆหน่อย] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
238	Suspicious Tombstone	[แล้วใครมาเป็นเพื่อนข้า?] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
239	Suspicious Tombstone	[อย่าจ้องห้องข้าแบบนั้นสิ ท่านก็มีช่องว่างของท่าน] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
240	Suspicious Tombstone	[ห้ามอ้วกที่นี่] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
241	Suspicious Tombstone	[ข้ายังไม่ตายหรอกรึ!] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
242	Suspicious Tombstone	[ในที่สุดข้าก็หยุดร้องได้แล้ว] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
243	Suspicious Tombstone	[เดินผิดทาง เข้าผิดช่อง แวะเข้ามาพักผ่อนในนี้หน่อยไหมล่ะ!] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
244	Suspicious Tombstone	[ข้าบอกแล้วว่าข้าเป็นโรค] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
245	Suspicious Tombstone	[ข้ามลืมยิงระเบิด] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
246	Suspicious Tombstone	[มีเรื่องกรุณาเคาะ] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
247	Suspicious Tombstone	[ตอนข้ามีชีวิตข้าเป็นราชา ตอนตายข้าก็ยังเป็นอยู่] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านรู้สึกถึงพลังบางอย่าง...
248	Lock Chest	กุญแจอยู่ในตัวของSkeleton\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านต้องใช้กุญแจ	
249	Pulling	ใช้สำหรับต่อสู้ หัก[True Crystal] 8 อันสามารถเปิดได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านไม่ใช่ผู้ต่อสู้ หรือไอเทมที่ต้องการไม่เพียงพอ	เสียงระเบิดที่ไม่รู้ว่ามาจากไหน
250	Pulling	ใช้สำหรับฝึกทดสอบหัก[True Crystal] 8 อันสามารถเปิดได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านไม่ใช่ผู้ฝึกฝน หรือไอเทมที่ต้องการไม่เพียงพอ	เสียงระเบิดที่ไม่รู้ว่ามาจากไหน
251				ไอเอาของในกล่องสมบัติก่อนสิ!
252	Team Banner	กรุณาอยู่ใกล้ๆธง เพื่อคอนเฟริมการแบ่งทีม		อย่าไปโดนธงที่ไหนอีกล่ะ!
253				การแข่งขันเริ่มขึ้นแล้ว!
254				ทีมแดงชนะ กรุณาไปรับรางวัลด้านข้างก่อน เมื่อรับแล้วสามารถออกจากดันเจี้ยนได้
255				ทีมน้ำเงินชนะ กรุณาไปรับรางวัลด้านข้างก่อน เมื่อรับแล้วสามารถออกจากดันเจี้ยนได้
256	Pulling	หัก[Warmly Crystal] 7 อันสามารถเปิดได้ 1 คน สามารถทำได้ 1 ครั้งเท่านั้น\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ทำPullingอันอื่นไปแล้ว หรือไอเทมที่ต้องการไม่เพียงพอ	เสียงระเบิดที่ไม่รู้ว่ามาจากไหน
257	Pulling	1 คน สามารถทำได้ 1 ครั้งเท่านั้น\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ทำPullingอันอื่นไปแล้ว	เสียงระเบิดที่ไม่รู้ว่ามาจากไหน
258	Pulling	หัก[True Crystal] 8 อัน สามารถเปิดได้ 1 คน สามารถทำได้ 1 ครั้งเท่านั้น\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ทำPullingอันอื่นไปแล้ว หรือไอเทมที่ต้องการไม่เพียงพอ	เสียงระเบิดที่ไม่รู้ว่ามาจากไหน
259	Woodpile	ขนย้ายท่อนไม้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านยังไม่ต้องการมันในตอนนี้	
260	Exit	ออกจาก Viper Wicket กลับสู่ Prison Exile Island 		
261	Ganoderma Mushroom	เก็บเห็ด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย]	ดูแล้วน่าจะไม่อร่อย...	
262				Pirate Flagship-Fear Duke ปรากฏที่ Outer space Ocean! รีบไปกำจัดมันซะ!
263				เสียงระเบิดดังขึ้น ประตูหินทางด้านขวาถูกเปิดออก...
264	Prison Diving Board	น่าจะเกี่ยวกับความสนใจของ Bismarck นะ...\n[วิธีใช้: ขึ้นไปบน Diving Board]		
265				Ward Kingkong ทำลายกำแพงและโจมตีท่าน!
266			จะต้องกำจัดมอนสเตอร์ให้หมด จึงจะเปิดได้	ประตูห้องต่อไปเปิดแล้ว...
267				ได้ยินเสียงแห่งความตาย Emerald Tornado ปรากฏแล้ว!
268	Ancient Diving Board	ยังใช้งานได้อยู่แน่ๆ\n[วิธีใช้：ขึ้นไปบน Diving Board]		
269				กำจัด Blitz Veteran มอนสเตอร์ที่โจมตีชาวบ้านไม่ปรากฎตัวแล้ว!
270				ลูกน้องของ Skeleton Captain หนีไปคนละทิศละทาง และไม่กลับมาอีก!
271				มอนสเตอร์ที่ Skeleton Chiliarch เรียกออกมาหนีไปคนละทิศละทาง และไม่กลับมาอีก!
272				ท่านผู้กล้า โปรดช่วยเราด้วยเถิด
273				Blitz Veteran, Skeleton Captain, Skeleton Chiliarch ได้พากองทัพของพวกมันมาที่นี่ มันต้องการจะฆ่าพวกเราทั้งหมด
274				โปรดปกป้องพวกเราชาวบ้านที่ไม่มีทางสู้ด้วยเถิด
275				เสียงหนึ่งดังขึ้น มีบางสิ่งหล่นลงมาจากฟ้า!
276	Memory Fountain	บันทึกจุดเกิดไว้ที่นี่\n[วิธีใช้：ดับเบิ้ลคลิกซ้าย]		ตั้งค่าจุดคืนชีพแล้ว!
277	Inconceivable Poseidon Chest	คิดไม่ถึงที่สุด! กุญแจที่ใช้เปิด ไม่อยู่ที่นี่จริงๆน่ะรึ!?\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย]		
278				Space Crack ถูกทำลาย Remains Iron Guard ไม่สามารถมาเป็นกองกำลังเสริมได้
279				Space Crack ถูกทำลาย Remains Iron Guard ไม่สามารถมาเป็นกองกำลังเสริมได้
280				Space Crack ถูกทำลาย Remains Iron Guard ไม่สามารถมาเป็นกองกำลังเสริมได้
281	Energy Crystal	คอยเพิ่มพลังให้กับสิ่งของบางอย่าง\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านจะต้องทำลาย Remains Guardian จึงจะสามารถปิด Energy Crystal ได้	Energy Crystal ถูกปิดแล้ว ทหารหมดกำลังลง
282	Energy Crystal	คอยเพิ่มพลังให้กับสิ่งของบางอย่าง\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		Energy Crystal ถูกปิดแล้ว รอยแยกถูกทำลาย Siren มุ่งหน้าไปทางหอผุพัง
283	Energy Crystal	คอยเพิ่มพลังให้กับสิ่งของบางอย่าง\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ท่านจะต้องทำลาย Remains Guardian จึงจะสามารถปิด Energy Crystal ได้	Energy Crystal ถูกปิดแล้ว ทหารหมดกำลังลง
284	เดินทางสู่ Atlantic-Dark Fog Sea	[เข้าได้เมื่อ: Lv.30]	เลเวลของท่านไม่เพียงพอ	
285	เดินทางสู่ Outer space Ocean-Pale Silver Sea	[เข้าได้เมื่อ: Lv.100]	เลเวลของท่านไม่เพียงพอ	
286	Elevate Table	เข้าสู่สนาม\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย]		สู้ สู้!
287	เดินทางสู่ Pale Silver Sea	[เข้าได้เมื่อ: Lv.80]	เลเวลของท่านไม่เพียงพอ	
288	มุ่งหน้าไป Atlantic Ocean-Dark Fog Sea			
289	มุ่งหน้าไป Outer Space Ocean-Pale Silver Sea			
290	มุ่งหน้าไป Atlantic Ocean-Rising Sun Sea			
291	มุ่งหน้าไป Outer Space Ocean-Taboo Sea			
292	มุ่งหน้าไป Skyfire Tower	เข้าสู่ Skyfire Tower กำจัด Sea Phantom\n(วิธีใช้: ดับเบิ้ลคลิ๊กซ้าย)		
293	กล่องที่ใส่เต็มไปด้วยระเบิด	จุดระเบิด และใช้พายุกลับไปที่ Ulysses\n(วิธีใช้: ดับเบิ้ลคลิ๊กซ้าย)		
294	Suspicious Ship	เข้าดันเจี้ยน Secret Cabin\n(แนะนำ: 2 คน เลเวล 15 ขึ้นไป)\n(วิธีใช้: ดับเบิ้ลคลิกซ้าย)		
295	Exit	ออกจากห้องเรือ กลับสู่ Port Royal		
296	Lantern	ตัวละครเดินไปสัมผัสกับโคมลอย สามารถเก็บได้		
297	Suspicious Box	Robinson ทำท่าทีมีความหวังอย่างมากว่าท่านจะเข้าใกล้...		
298	Bermuda Crack	ออกจาก Poseidon Island\n(วิธีใช้: เข้าใกล้รอยแยก)		
299	ออกจาก Event Scene	(วิธีใช้:  ขึ้นไปยืนบนวาร์ป)		
300	เข้า Event Scene	(วิธีใช้:  ขึ้นไปยืนบนวาร์ป)		
301	Pirate King Chest	กล่องที่มีอยู่มายาวนาน\n(วิธีใช้:  ดับเบิ้ลคลิกซ้าย)		
302	Suspicious Barnacle	ด้านในเหมือนจะมีอะไรอยู่\n(วิธีใช้:  ดับเบิ้ลคลิกซ้าย)		
303	Tinderbox	"Odyssey มอบให้ Sea Phantom"\n(วิธีใช้: ดับเบิ้ลคลิกซ้าย)		
304	เข้าสนาม	ไปกลางสนาม		
305	เข้าสนาม	ไปทางทิศเหนือของสนาม		
306	เข้าสนาม	ไปทางทิศใต้ของสนาม		
307	Diving Tower	ขึ้นไป\n(วิธีใช้: ยืนบนแท่น)		
308				ดูเหมือนว่าผู้ท้าชิงเราจะลงสนามแล้ว พวกเขาผ่านการต่อสู้มาแล้วไม่ต่ำกว่า 20 รอบ รวมถึงท่านเบ~รูททท ของเราด้วย!
309				การแข่ง เริ่มได้!
310	脂肪燉鍋	一股難聞的味道…真的能煮出油來嗎？\n(使用方式：雙點擊左鍵)		
311				กระทงปรากฎตัวที่ Atlantic Ocean! ไปกำจัดมันเลย!
312				ท่านโยนของขวัญลงไปในปล่องไฟ มือทั้งสองของท่านเต็มไปด้วยขี้เถ้าจากปล่องไฟ...
